Country,Population,GDP
Trinidad & Tobago ,1065842,9500.0
Tunisia ,10175014,6900.0
Turkey ,70413958,6700.0
Turkmenistan ,5042920,5800.0
Turks & Caicos Is ,21152,9600.0
Tuvalu ,11810,1100.0
Uganda ,28195754,1400.0
Ukraine ,46710816,5400.0
United Arab Emirates ,2602713,23200.0
United Kingdom ,60609153,27700.0
United States ,298444215,37800.0
Uruguay ,3431932,12800.0
Uzbekistan ,27307134,1700.0
Vanuatu ,208869,2900.0
Venezuela ,25730435,4800.0
Vietnam ,84402966,2500.0
Virgin Islands ,108605,17200.0
Wallis and Futuna ,16025,3700.0
West Bank ,2460492,800.0
Western Sahara ,273008,
Yemen ,21456188,800.0
Zambia ,11502010,800.0
Zimbabwe ,12236805,1900.0
